1664208000000,19092.43000000,19097.90000000,19074.12000000,19078.07000000,0.47578000,1664208899999,9077.37002770,18,0.23476000,4479.20033830,0
1664208900000,19076.69000000,19096.99000000,19019.13000000,19019.13000000,0.21845000,1664209799999,4160.02477550,10,0.01452000,277.16555400,0
1664209800000,19013.49000000,19018.69000000,19013.49000000,19018.69000000,0.00687000,1664210699999,130.65018430,2,0.00687000,130.65018430,0
1664210700000,19096.49000000,19103.07000000,19041.26000000,19041.26000000,0.21555000,1664211599999,4111.07072860,19,0.04375000,835.52656480,0
1664211600000,19041.26000000,19042.37000000,19041.26000000,19041.26000000,0.05378000,1664212499999,1024.09668280,3,0.00089000,16.94672140,0
1664212500000,19041.80000000,19041.80000000,19041.80000000,19041.80000000,0.00139000,1664213399999,26.46810200,1,0.00000000,0.00000000,0
1664213400000,19048.27000000,19063.17000000,19035.72000000,19063.17000000,0.12919000,1664214299999,2461.04972130,13,0.01312000,249.91330240,0
1664214300000,19061.70000000,19122.73000000,19061.70000000,19120.63000000,0.19760000,1664215199999,3773.63871320,12,0.05120000,977.99988200,0
1664215200000,19146.90000000,19163.05000000,19146.90000000,19151.70000000,0.11342000,1664216099999,2172.34074320,9,0.03131000,599.74534210,0
1664216100000,19163.94000000,19182.45000000,19157.73000000,19169.59000000,0.31309000,1664216999999,6001.65706700,20,0.10636000,2039.59267240,0
1664217000000,19119.61000000,19119.61000000,19075.29000000,19101.61000000,0.12685000,1664217899999,2423.34456990,6,0.08345000,1594.74549500,0
1664217900000,19089.24000000,19207.62000000,19089.24000000,19197.13000000,0.14197000,1664218799999,2719.45867700,10,0.10194000,1953.56474370,0
1664218800000,19180.89000000,19210.61000000,19156.32000000,19156.32000000,0.18622000,1664219699999,3573.80143920,19,0.10616000,2037.89195980,0
1664219700000,19138.28000000,19197.20000000,19128.40000000,19197.20000000,0.21162000,1664220599999,4058.05676800,7,0.14022000,2691.50948400,0
1664220600000,19184.92000000,19231.74000000,19159.40000000,19159.40000000,0.58911000,1664221499999,11306.23527030,17,0.50382000,9668.88950420,0
1664221500000,19223.61000000,19263.71000000,19181.75000000,19181.75000000,0.50642000,1664222399999,9748.88380870,13,0.44642000,8595.79030870,0
1664222400000,19182.71000000,19182.71000000,19147.61000000,19147.61000000,0.16874000,1664223299999,3234.53994730,11,0.11183000,2143.64679930,0
1664223300000,19147.85000000,19170.34000000,19145.00000000,19168.18000000,0.16379000,1664224199999,3137.61920380,9,0.08887000,1702.97557250,0
1664224200000,19123.80000000,19132.93000000,19123.80000000,19132.93000000,0.08984000,1664225099999,1718.51559310,2,0.08984000,1718.51559310,0
1664225100000,19130.07000000,19130.07000000,19115.67000000,19124.90000000,0.16226000,1664225999999,3103.00414030,8,0.06697000,1280.80292840,0
1664226000000,19097.34000000,19097.34000000,19097.34000000,19097.34000000,0.00366000,1664226899999,69.89626440,1,0.00000000,0.00000000,0
1664226900000,19090.82000000,19100.93000000,19090.82000000,19100.93000000,0.01846000,1664227799999,352.54897820,2,0.01310000,250.22218300,0
